y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
13,26,MI,Michigan,2053,3873,94442
13,24,MD,Maryland,1955,3743,113808
13,22,LA,Louisiana,1598,3248,62682
13,28,MS,Mississippi,1459,2980,56907
13,18,IN,Indiana,1312,2604,58650
13,21,KY,Kentucky,1284,2645,54003
13,08,CO,Colorado,1260,2553,71556
13,29,MO,Missouri,1133,2223,55325
13,53,WA,Washington,1116,2285,58062
13,04,AZ,Arizona,1061,2139,53645
13,25,MA,Massachusetts,1057,1869,64204
13,09,CT,Connecticut,915,1724,67797
13,55,WI,Wisconsin,771,1477,42465
13,20,KS,Kansas,685,1508,36959
13,40,OK,Oklahoma,659,1349,33418
13,27,MN,Minnesota,646,1225,53718
13,05,AR,Arkansas,580,1161,26895
13,32,NV,Nevada,568,1104,22093
13,15,HI,Hawaii,567,1250,23827
13,19,IA,Iowa,385,732,17016
13,02,AK,Alaska,368,823,14978
13,35,NM,New Mexico,355,719,15351
13,11,DC,District Of Columbia,354,513,24896
13,54,WV,West Virginia,327,641,13912
13,49,UT,Utah,313,665,14908
13,41,OR,Oregon,305,557,14178
13,10,DE,Delaware,279,515,11689
13,31,NE,Nebraska,264,527,11914
13,44,RI,Rhode Island,209,381,10144
13,23,ME,Maine,207,399,9651
13,33,NH,New Hampshire,201,399,11593
13,38,ND,North Dakota,153,317,8354
13,16,ID,Idaho,144,298,5628
13,56,WY,Wyoming,138,283,41820
13,46,SD,South Dakota,126,235,6008
13,30,MT,Montana,117,208,4350
13,50,VT,Vermont,102,172,5028
15,96,HI,HI Total Migration-US and Foreign,21959,41666,1179128
15,97,HI,HI Total Migration-US,20288,37820,1086159
15,98,HI,HI Total Migration-Foreign,1671,3846,92969
15,97,HI,HI Total Migration-Same State,2761,4725,115253
15,15,HI,HI Non-migrants,542461,1107755,35364835
15,06,CA,California,4508,7779,301849
15,57,FR,Foreign,1671,3846,92969
15,48,TX,Texas,1533,3170,72764
15,53,WA,Washington,1350,2716,69385
15,12,FL,Florida,1119,1921,50010
15,36,NY,New York,741,1247,31416
15,51,VA,Virginia,720,1542,41508
15,13,GA,Georgia,686,1466,29395
15,32,NV,Nevada,649,1150,28727
15,08,CO,Colorado,618,1216,33076
15,37,NC,North Carolina,601,1250,22495
15,04,AZ,Arizona,588,1049,28465
15,41,OR,Oregon,549,922,23668
15,17,IL,Illinois,442,691,22920
15,24,MD,Maryland,376,709,23466
15,42,PA,Pennsylvania,336,589,18168
15,45,SC,South Carolina,309,588,12902
15,02,AK,Alaska,303,628,13113
15,49,UT,Utah,297,663,12908
15,39,OH,Ohio,292,506,10364
15,29,MO,Missouri,292,611,12991
15,47,TN,Tennessee,278,580,12809
15,26,MI,Michigan,276,495,13273
